genre,weight,avg_streams,country
indie rock,3.6,9936509.283333335,us
indie soul,2.5,1940842.6875,us
indietronica,2.142857142857143,9553788.714285715,us
jazz,1.25,10640509.0,us
k-hop,2.25,1857168.625,us
k-pop,1.6,5641201.0666666655,us
latin,29.8125,14117593.842238175,us
lounge,1.25,5390239.875,us
mellow gold,1.0,12927022.0,us
metal,3.0,22862690.0,us
moombahton,3.230769230769231,12909557.21923077,us
new wave,1.5,2191634.5,us
ninja,2.4545454545454546,14013199.986363636,us
other,7.111111111111111,13522949.364373898,us
pagode baiano,1.3333333333333333,5925788.0,us
pop,47.5,19033790.91291367,us
pop punk,1.5,18873307.5,us
pop rap,73.38888888888889,12963656.541747048,us
pop rock,2.3333333333333335,15452681.38888889,us
psychedelic rock,1.0,12927022.0,us
punk,1.0,1626760.0,us
r&b,19.272727272727273,13247489.028179424,us
rap,92.57142857142857,12907452.61221291,us
rap rock,3.0,11698469.333333336,us
reggae,1.0,37808144.0,us
reggaeton,38.166666666666664,11625082.294233091,us
rock,3.3333333333333335,8876528.527777778,us
soul,7.6,9916461.113333333,us
techno,1.0,24138750.0,us
trance,1.5,1615176.0,us
trap,74.5,15165009.656018518,us
tropical,4.0,4992158.75,us
tropical house,5.333333333333333,19278860.400000002,us
urban contemporary,4.0,3266973.0,us
